Playlist Name,URI,Mood,Creator
Mood Booster,spotify:playlist:37i9dQZF1DX3rxVfibe1L0,happy,Spotify
Work From Home,spotify:playlist:37i9dQZF1DWTLSN7iG21yC,calm,Spotify
Tear Drop,spotify:playlist:37i9dQZF1DX6xZZEgC9Ubl,sad,Spotify
Your Favorite Coffeehouse,spotify:playlist:37i9dQZF1DX6ziVCJnEm59,calm,Spotify
Life Sucks,spotify:playlist:37i9dQZF1DX3YSRoSdA634,sad,Spotify
Getting Ready,spotify:playlist:37i9dQZF1DX2SlyIbbHgFa,energetic,Spotify
Dreamy Vibes,spotify:playlist:37i9dQZF1DWSiZVO2J6WeI,calm,Spotify
Happy Folk,spotify:playlist:37i9dQZF1DWSkMjlBZAZ07,happy,Spotify
Wild + Free,spotify:playlist:37i9dQZF1DX5Q5wA1hY6bS,energetic,Spotify
Down In The Dumps,spotify:playlist:37i9dQZF1DWSqBruwoIXkA,sad,Spotify
Sad Bops,spotify:playlist:37i9dQZF1DWZUAeYvs88zc,sad,Spotify
Alone Again,spotify:playlist:37i9dQZF1DWX83CujKHHOn,sad,Spotify
Afternoon Acoustics,spotify:playlist:37i9dQZF1DX4E3UdUs7fUx,calm,Spotify
Wake Up Happy,spotify:playlist:37i9dQZF1DX0UrRvztWcAU,happy,Spotify
Swagger,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,energetic,Spotify
Country Coffeehouse,spotify:playlist:37i9dQZF1DWYiR2Uqcon0X,calm,Spotify
Walk Like a Badass,spotify:playlist:37i9dQZF1DX1tyCD9QhIWF,energetic,Spotify
Young & Free,spotify:playlist:37i9dQZF1DXca8AyWK6Y7g,energetic,Spotify
Wake Up Gently,spotify:playlist:37i9dQZF1DX7cZxYLqLUJl,calm,Spotify
Café con Leche,spotify:playlist:37i9dQZF1DXa3NnZWk6Z3T,calm,Spotify
Sad Beats,spotify:playlist:37i9dQZF1DWVrtsSlLKzro,sad,Spotify
Feel Good Beats,spotify:playlist:37i9dQZF1DXcNb6Ba0LuVc,happy,Spotify
Sad Indie,spotify:playlist:37i9dQZF1DWVV27DiNWxkR,sad,Spotify
Devastating,spotify:playlist:37i9dQZF1DX33TfGBYPkRQ,sad,Spotify
Pura Vida,spotify:playlist:37i9dQZF1DX70wMfszScwR,happy,Spotify
Classics For Crying,spotify:playlist:37i9dQZF1DX15JKV0q7shD,sad,Spotify
Morning Rhythm,spotify:playlist:37i9dQZF1DX3ohNxI5tB79,energetic,Spotify
Noir,spotify:playlist:37i9dQZF1DX9LT7r8qPxfa,sad,Spotify
Just Smile,spotify:playlist:37i9dQZF1DWVu0D7Y8cYcs,happy,Spotify
Canciones Sad,spotify:playlist:37i9dQZF1DX1PiujNwN5Yy,sad,Spotify
Piano Comfort,spotify:playlist:37i9dQZF1DWVEerxa93vDU,calm,Spotify
Morning K-Pop!,spotify:playlist:37i9dQZF1DX1uG5byNIgDA,energetic,Spotify
Feel Good Piano,spotify:playlist:37i9dQZF1DXcEKFjZJYZcc,happy,Spotify
Confidence Boost,spotify:playlist:37i9dQZF1DX4fpCWaHOned,energetic,Spotify
Songs to Sing in the Shower,spotify:playlist:37i9dQZF1DWSqmBTGDYngZ,energetic,Spotify
Good Vibes,spotify:playlist:37i9dQZF1DWYBO1MoTDhZI,energetic,Spotify
Throwback Jams,spotify:playlist:37i9dQZF1DX8ky12eWIvcW,energetic,Spotify
Pop Party,spotify:playlist:37i9dQZF1DWXti3N4Wp5xy,energetic,Spotify
Tailgate Party,spotify:playlist:37i9dQZF1DXdgnLr18vPvu,energetic,Spotify
Latin Party Anthems,spotify:playlist:37i9dQZF1DWVcbzTgVpNRm,energetic,Spotify
Fiesta,spotify:playlist:37i9dQZF1DX9vJ2U3sN7xj,energetic,Spotify
Girls' Night,spotify:playlist:37i9dQZF1DX0Uv9tZ47pWo,energetic,Spotify
Dance Pop,spotify:playlist:37i9dQZF1DWZQaaqNMbbXa,energetic,Spotify
Dance Party,spotify:playlist:37i9dQZF1DXaXB8fQg7xif,energetic,Spotify
State of mind,spotify:playlist:37i9dQZF1DX1YPTAhwehsC,energetic,Spotify
Summer Party,spotify:playlist:37i9dQZF1DX5Ozry5U6G0d,energetic,Spotify
Lo-Fi Beats,spotify:playlist:37i9dQZF1DWWQRwui0ExPn,calm,Spotify
Chillin' on a Dirt Road,spotify:playlist:37i9dQZF1DWTkxQvqMy4WW,calm,Spotify
Chill Vibes,spotify:playlist:37i9dQZF1DX889U0CL85jj,calm,Spotify
Peaceful Meditation,spotify:playlist:37i9dQZF1DWZqd5JICZI0u,calm,Spotify
Chill Tracks,spotify:playlist:37i9dQZF1DX6VdMW310YC7,calm,Spotify
Acoustic Covers,spotify:playlist:37i9dQZF1DWXmlLSKkfdAk,calm,Spotify
Late Night Vibes,spotify:playlist:37i9dQZF1DXdQvOLqzNHSW,calm,Spotify
Hanging Out and Relaxing,spotify:playlist:37i9dQZF1DXci7j0DJQgGp,calm,Spotify
Deep House Relax,spotify:playlist:37i9dQZF1DX2TRYkJECvfC,calm,Spotify
Acoustic Hits,spotify:playlist:37i9dQZF1DX4VvfRBFClxm,calm,Spotify
Lush Lofi,spotify:playlist:37i9dQZF1DXc8kgYqQLMfH,calm,Spotify
Relax and Unwind,spotify:playlist:37i9dQZF1DWU0ScTcjJBdj,calm,Spotify
Sad Boi hours,spotify:playlist:7xySbQAypJdiEBRRlycJIY,sad,Spiid3r
Sad Songs for Crying,spotify:playlist:7ABD15iASBIpPP5uJ5awvq,sad,Indiemono
sad songs for sad nights,spotify:playlist:7vQcYCKS4d1b00s7cUXQDC,sad,anniekate
Happy Songs,spotify:playlist:1h90L3LP8kAJ7KGjCV2Xfd,happy,Filtr US
HAPPY SONGS 2020,spotify:playlist:4FYU1aJih7ykRIUYenRt8w,happy,allison.enloe
"Happy Songs (80s,90s,2000s,2010s,2020s)",spotify:playlist:4AnAUkQNrLKlJCInZGSXRO,happy,Indiemono
Happy Hour,spotify:playlist:37i9dQZF1DWZ72qOlbizxi,happy,Spotify
Happy Time,spotify:playlist:1V93SRHKAhfJ83uFY8YtAg,happy,Filtr France
Happy Pop Hits,spotify:playlist:37i9dQZF1DWVlYsZJXqdym,happy,Spotify
Happy,spotify:playlist:6IaZNTgoPuPyL6FJ2J27nu,happy,Stacy
Happy Ever After,spotify:playlist:34SAwFo06e86upQJCPlUWJ,happy,Brett
b happy,spotify:playlist:2f8YfShLMXHeXY2VJNBNx7,happy,kristy bae
