Playlist Name,URI,Mood,Creator
energetic songs,spotify:playlist:2lmcuXNkjYOoQeXvwqvvFT,energetic,Catarina Rocha Leite
Energetic Pop,spotify:playlist:3usEmJIFWmdLZb9WMbbbA9,energetic,littlemissspotify123
Energetic Morning,spotify:playlist:3usEmJIFWmdLZb9WMbbbA9,energetic,Both
Energtic Run 160-165 BPM,spotify:playlist:37i9dQZF1DWT6anPZiHuxz,energetic,Spotify
Energetic study,spotify:playlist:0h71cMDjVn4MAQBCYR0LYW,energetic,vb7mscsqucdeuixg78f13dr28
Energetic Gaming,spotify:playlist:7HSb4M9s5hmqYmm63kTiHd,energetic,sygyerecords
Energetic Folk Pop,spotify:playlist:1IYAZp0JNqWrs0hcZMz0ai,energetic,Musicbed
addis | Energetic Run,spotify:playlist:5f70wYTESJhUSCzIPIExKs,energetic,adidas
Energetic EDM - Sports Motivation,spotify:playlist:0Q6jAuDvvof4C0LpXF8onM,energetic,giesen.tobi
Happy Songs,spotify:playlist:1h90L3LP8kAJ7KGjCV2Xfd,happy,Filtr US
HAPPY SONGS 2020,spotify:playlist:4FYU1aJih7ykRIUYenRt8w,happy,allison.enloe
Happy Hits!,spotify:playlist:37i9dQZF1DXdPec7aLTmlC,happy,Spotify
"Happy Songs 80s, 90s,200s",spotify:playlist:4AnAUkQNrLKlJCInZGSXRO,happy,Indiemono
Happy Mood,spotify:playlist:3Hs562oYeOsTcNmiUSj0f8,happy,Ischtar Isik
Happy Pop,spotify:playlist:37i9dQZF1DX1H4LbvY4OJi,happy,Spotify
Happy Rap,spotify:playlist:6EVtbGzL8sXVnpcYjbeGX2,happy,New Wave
Happy Lah!,spotify:playlist:37i9dQZF1DWZdLqpoFOt65,happy,Spotify
New Happy Tunes,spotify:playlist:37i9dQZF1DWYmyAaW6ZbdD,happy,Spotify
Happy Throwbacks,spotify:playlist:37i9dQZF1DWVOMXLzSabIM,happy,Spotify
Friday Feeling Happy Songs,spotify:playlist:2GYqYpH2stKX2hNodRIX7y,happy,wolfgreenpark
Happy Indie,spotify:playlist:3triqUCpGzqAK6484RL1AJ,happy,Filtr Belgium
"Positive Energy - Positivity, Happy",spotify:playlist:5TTmUXMKK07ZuQ4RCBEwO4,happy,Blurred Lines
Calm Music 2020,spotify:playlist:7LI3zw8HLkjKo5YpvA26KG,calm,11131059013
Calm Vibes,spotify:playlist:37i9dQZF1DX1s9knjP51Oa,calm,Spotify
Calming aesthetic songs,spotify:playlist:5rU55Sg4vr92RZcMTdCcZZ,calm,Noelletjem
calming music,spotify:playlist:33Y6wyEGJXALWnBZvgnLDe,calm,jacquelinefionaleung
Keep Calm,spotify:playlist:37i9dQZF1DX5Ufz5ldo0J4,calm,Spotify
Calm Songs,spotify:playlist:55UMZVJqlPIf6eAaNULfu7,calm,Ami Ellqvist
Calming Acoustic,spotify:playlist:37i9dQZF1DXaImRpG7HXqp,calm,Spotify
Calm Music 2020,spotify:playlist:1y0LvVp2ww6nwA0lR0zkyy,calm,Filtr US
Calm,spotify:playlist:37i9dQZF1DWTC99MCpbjP8,calm,Spotify
sad playlist,spotify:playlist:0N2pTjZX98Piir6i1VUTzZ,sad,mtrevinogomez-mx
Sad Songs for Crying Yourself to Sleep,spotify:playlist:7ABD15iASBIpPP5uJ5awvq,sad,Indiemono
Sad Boi Hours,spotify:playlist:7xySbQAypJdiEBRRlycJIY,sad,Spiid3r
sad playlist:'(,spotify:playlist:6vbetH32Fk2oRjeznWkKtx,sad,kate.alley03
Sad Songs for Crying Yourself to Sleep,spotify:playlist:37i9dQZF1DX7qK8ma5wgG1,sad,Spotify
sad songs for sad nights,spotify:playlist:7vQcYCKS4d1b00s7cUXQDC,sad,anniekate
