,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,p_creator,p_mood,p_name,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.062,https://api.spotify.com/v1/audio-analysis/4fwo6czG5nvOQMzhOto1ya,0.738,139813.0,0.717,4fwo6czG5nvOQMzhOto1ya,0.0,1.0,0.205,-5.121,1.0,Spotify,happy,Mood Booster,0.0573,98.047,4.0,https://api.spotify.com/v1/tracks/4fwo6czG5nvOQMzhOto1ya,audio_features,spotify:track:4fwo6czG5nvOQMzhOto1ya,0.5
1,0.00575,https://api.spotify.com/v1/audio-analysis/0ycFQvBTfuo1LCdG0HhszL,0.862,186613.0,0.4,0ycFQvBTfuo1LCdG0HhszL,7.49e-06,4.0,0.123,-7.486,1.0,Spotify,happy,Mood Booster,0.0736,122.963,4.0,https://api.spotify.com/v1/tracks/0ycFQvBTfuo1LCdG0HhszL,audio_features,spotify:track:0ycFQvBTfuo1LCdG0HhszL,0.596
2,0.3,https://api.spotify.com/v1/audio-analysis/4umIPjkehX1r7uhmGvXiSV,0.806,212867.0,0.546,4umIPjkehX1r7uhmGvXiSV,0.0,9.0,0.102,-6.637,1.0,Spotify,happy,Mood Booster,0.0575,147.986,4.0,https://api.spotify.com/v1/tracks/4umIPjkehX1r7uhmGvXiSV,audio_features,spotify:track:4umIPjkehX1r7uhmGvXiSV,0.874
3,0.214,https://api.spotify.com/v1/audio-analysis/6l7lX8hJXVIUyPrTaabpqk,0.529,178747.0,0.496,6l7lX8hJXVIUyPrTaabpqk,0.0,0.0,0.212,-6.668,0.0,Spotify,happy,Mood Booster,0.151,74.619,4.0,https://api.spotify.com/v1/tracks/6l7lX8hJXVIUyPrTaabpqk,audio_features,spotify:track:6l7lX8hJXVIUyPrTaabpqk,0.588
4,0.00103,https://api.spotify.com/v1/audio-analysis/1mpD5Q8IM32I4bF6eCpU74,0.665,157220.0,0.712,1mpD5Q8IM32I4bF6eCpU74,0.00342,1.0,0.102,-7.536,1.0,Spotify,happy,Mood Booster,0.0527,93.989,4.0,https://api.spotify.com/v1/tracks/1mpD5Q8IM32I4bF6eCpU74,audio_features,spotify:track:1mpD5Q8IM32I4bF6eCpU74,0.669
5,0.105,https://api.spotify.com/v1/audio-analysis/3anNizayrIeuVv3Mb2KnIR,0.532,189385.0,0.66,3anNizayrIeuVv3Mb2KnIR,0.000222,7.0,0.0996,-7.138,1.0,Spotify,happy,Mood Booster,0.0825,130.013,4.0,https://api.spotify.com/v1/tracks/3anNizayrIeuVv3Mb2KnIR,audio_features,spotify:track:3anNizayrIeuVv3Mb2KnIR,0.676
6,0.122,https://api.spotify.com/v1/audio-analysis/1e9oZCCiX42nJl0AcqriVo,0.548,174000.0,0.816,1e9oZCCiX42nJl0AcqriVo,0.0,0.0,0.335,-4.209,1.0,Spotify,happy,Mood Booster,0.0465,95.39,4.0,https://api.spotify.com/v1/tracks/1e9oZCCiX42nJl0AcqriVo,audio_features,spotify:track:1e9oZCCiX42nJl0AcqriVo,0.557
7,0.153,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,0.654,167693.0,0.63,2wrJq5XKLnmhRXHIAf9xBa,0.0,10.0,0.111,-4.644,1.0,Spotify,happy,Mood Booster,0.0259,89.991,4.0,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,audio_features,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,0.43
8,0.00839,https://api.spotify.com/v1/audio-analysis/4wNIkl5XGiAACjFBlDWuSd,0.852,180645.0,0.698,4wNIkl5XGiAACjFBlDWuSd,1.03e-06,9.0,0.0773,-7.206,1.0,Spotify,happy,Mood Booster,0.0629,113.039,4.0,https://api.spotify.com/v1/tracks/4wNIkl5XGiAACjFBlDWuSd,audio_features,spotify:track:4wNIkl5XGiAACjFBlDWuSd,0.324
9,0.44,https://api.spotify.com/v1/audio-analysis/2grAr8pWMuLWn8ZYEE9wDV,0.485,200756.0,0.461,2grAr8pWMuLWn8ZYEE9wDV,0.0,9.0,0.232,-5.646,1.0,Spotify,happy,Mood Booster,0.0444,87.009,4.0,https://api.spotify.com/v1/tracks/2grAr8pWMuLWn8ZYEE9wDV,audio_features,spotify:track:2grAr8pWMuLWn8ZYEE9wDV,0.324
