,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,p_creator,p_mood,p_name,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.26,https://api.spotify.com/v1/audio-analysis/6DoYk3QIvkDs60S1d01vbx,0.598,184013.0,0.687,6DoYk3QIvkDs60S1d01vbx,0.0,7.0,0.112,-9.021,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0955,75.169,4.0,https://api.spotify.com/v1/tracks/6DoYk3QIvkDs60S1d01vbx,audio_features,spotify:track:6DoYk3QIvkDs60S1d01vbx,0.626
1,0.0384,https://api.spotify.com/v1/audio-analysis/6FE2iI43OZnszFLuLtvvmg,0.72,175427.0,0.791,6FE2iI43OZnszFLuLtvvmg,0.0,1.0,0.157,-4.689,1.0,Catarina Rocha Leite,energetic,energetic songs,0.124,102.071,4.0,https://api.spotify.com/v1/tracks/6FE2iI43OZnszFLuLtvvmg,audio_features,spotify:track:6FE2iI43OZnszFLuLtvvmg,0.756
2,0.00413,https://api.spotify.com/v1/audio-analysis/6eUncuJutsFi9BGO1JaBHh,0.897,212014.0,0.634,6eUncuJutsFi9BGO1JaBHh,0.0,4.0,0.0686,-6.264,0.0,Catarina Rocha Leite,energetic,energetic songs,0.161,112.048,4.0,https://api.spotify.com/v1/tracks/6eUncuJutsFi9BGO1JaBHh,audio_features,spotify:track:6eUncuJutsFi9BGO1JaBHh,0.506
3,0.53,https://api.spotify.com/v1/audio-analysis/5k5fWendNngd89O8JKoE8L,0.756,176267.0,0.789,5k5fWendNngd89O8JKoE8L,0.000711,2.0,0.157,-7.002,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0324,127.987,4.0,https://api.spotify.com/v1/tracks/5k5fWendNngd89O8JKoE8L,audio_features,spotify:track:5k5fWendNngd89O8JKoE8L,0.873
4,0.0759,https://api.spotify.com/v1/audio-analysis/0Kd3Ih8VZgaetIqke9SIND,0.647,221320.0,0.834,0Kd3Ih8VZgaetIqke9SIND,0.0,1.0,0.378,-3.258,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0956,98.074,4.0,https://api.spotify.com/v1/tracks/0Kd3Ih8VZgaetIqke9SIND,audio_features,spotify:track:0Kd3Ih8VZgaetIqke9SIND,0.677
5,0.269,https://api.spotify.com/v1/audio-analysis/6cj8s9tWTahcd0XmnM2tVj,0.832,240747.0,0.87,6cj8s9tWTahcd0XmnM2tVj,0.0,8.0,0.415,-4.2,0.0,Catarina Rocha Leite,energetic,energetic songs,0.166,137.998,4.0,https://api.spotify.com/v1/tracks/6cj8s9tWTahcd0XmnM2tVj,audio_features,spotify:track:6cj8s9tWTahcd0XmnM2tVj,0.577
6,0.0173,https://api.spotify.com/v1/audio-analysis/3mTUqLbtWm2DAEwvQTyu4d,0.667,174382.0,0.669,3mTUqLbtWm2DAEwvQTyu4d,0.0,0.0,0.0737,-4.531,0.0,Catarina Rocha Leite,energetic,energetic songs,0.165,172.019,4.0,https://api.spotify.com/v1/tracks/3mTUqLbtWm2DAEwvQTyu4d,audio_features,spotify:track:3mTUqLbtWm2DAEwvQTyu4d,0.939
7,0.0818,https://api.spotify.com/v1/audio-analysis/4eLSCSELtKxZwXnFbNLXT5,0.507,189840.0,0.923,4eLSCSELtKxZwXnFbNLXT5,4.63e-06,0.0,0.0951,-5.581,1.0,Catarina Rocha Leite,energetic,energetic songs,0.173,99.252,4.0,https://api.spotify.com/v1/tracks/4eLSCSELtKxZwXnFbNLXT5,audio_features,spotify:track:4eLSCSELtKxZwXnFbNLXT5,0.768
8,0.503,https://api.spotify.com/v1/audio-analysis/4UChhDCTtneR0QXN0btEmz,0.783,332653.0,0.651,4UChhDCTtneR0QXN0btEmz,1.31e-05,9.0,0.121,-6.757,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0338,101.015,4.0,https://api.spotify.com/v1/tracks/4UChhDCTtneR0QXN0btEmz,audio_features,spotify:track:4UChhDCTtneR0QXN0btEmz,0.643
9,0.0825,https://api.spotify.com/v1/audio-analysis/62pSYErgGri97X9aIyBzHm,0.605,196640.0,0.793,62pSYErgGri97X9aIyBzHm,0.0,7.0,0.124,-3.084,0.0,Catarina Rocha Leite,energetic,energetic songs,0.297,184.032,4.0,https://api.spotify.com/v1/tracks/62pSYErgGri97X9aIyBzHm,audio_features,spotify:track:62pSYErgGri97X9aIyBzHm,0.647
10,0.0418,https://api.spotify.com/v1/audio-analysis/2coxlAb4MdWJ9br51D0qn7,0.968,224893.0,0.6,2coxlAb4MdWJ9br51D0qn7,0.0,11.0,0.0585,-5.679,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0981,111.951,4.0,https://api.spotify.com/v1/tracks/2coxlAb4MdWJ9br51D0qn7,audio_features,spotify:track:2coxlAb4MdWJ9br51D0qn7,0.907
11,0.0561,https://api.spotify.com/v1/audio-analysis/5xTtaWoae3wi06K5WfVUUH,0.648,219200.0,0.785,5xTtaWoae3wi06K5WfVUUH,0.0,7.0,0.148,-5.414,1.0,Catarina Rocha Leite,energetic,energetic songs,0.165,160.02,4.0,https://api.spotify.com/v1/tracks/5xTtaWoae3wi06K5WfVUUH,audio_features,spotify:track:5xTtaWoae3wi06K5WfVUUH,0.943
12,0.0591,https://api.spotify.com/v1/audio-analysis/5Hroj5K7vLpIG4FNCRIjbP,0.673,194240.0,0.902,5Hroj5K7vLpIG4FNCRIjbP,0.000262,2.0,0.0558,-2.392,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0346,100.012,4.0,https://api.spotify.com/v1/tracks/5Hroj5K7vLpIG4FNCRIjbP,audio_features,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,0.538
13,0.286,https://api.spotify.com/v1/audio-analysis/6NPVjNh8Jhru9xOmyQigds,0.652,233305.0,0.757,6NPVjNh8Jhru9xOmyQigds,0.0,1.0,0.0886,-6.819,1.0,Catarina Rocha Leite,energetic,energetic songs,0.153,159.911,4.0,https://api.spotify.com/v1/tracks/6NPVjNh8Jhru9xOmyQigds,audio_features,spotify:track:6NPVjNh8Jhru9xOmyQigds,0.962
14,0.032,https://api.spotify.com/v1/audio-analysis/5eK3EGtSzTz9eEcPFwE37E,0.57,209547.0,0.806,5eK3EGtSzTz9eEcPFwE37E,0.000179,5.0,0.77,-7.351,1.0,Catarina Rocha Leite,energetic,energetic songs,0.14,156.319,4.0,https://api.spotify.com/v1/tracks/5eK3EGtSzTz9eEcPFwE37E,audio_features,spotify:track:5eK3EGtSzTz9eEcPFwE37E,0.605
15,0.0132,https://api.spotify.com/v1/audio-analysis/6kcuYyyU2tPxGP3PDVWYJT,0.421,234787.0,0.822,6kcuYyyU2tPxGP3PDVWYJT,0.0,2.0,0.092,-4.415,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0542,171.935,4.0,https://api.spotify.com/v1/tracks/6kcuYyyU2tPxGP3PDVWYJT,audio_features,spotify:track:6kcuYyyU2tPxGP3PDVWYJT,0.751
16,0.00701,https://api.spotify.com/v1/audio-analysis/4kbj5MwxO1bq9wjT5g9HaA,0.578,199080.0,0.866,4kbj5MwxO1bq9wjT5g9HaA,0.0,1.0,0.257,-3.804,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0619,128.038,4.0,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA,audio_features,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,0.619
17,0.00654,https://api.spotify.com/v1/audio-analysis/56ZDcszhe1eCeghso93fXP,0.691,213080.0,0.791,56ZDcszhe1eCeghso93fXP,0.0,0.0,0.0729,-3.747,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0613,100.044,4.0,https://api.spotify.com/v1/tracks/56ZDcszhe1eCeghso93fXP,audio_features,spotify:track:56ZDcszhe1eCeghso93fXP,0.793
18,0.0116,https://api.spotify.com/v1/audio-analysis/05wIrZSwuaVWhcv5FfqeH0,0.596,238733.0,0.869,05wIrZSwuaVWhcv5FfqeH0,0.173,10.0,0.0678,-11.97,1.0,Catarina Rocha Leite,energetic,energetic songs,0.037,109.902,4.0,https://api.spotify.com/v1/tracks/05wIrZSwuaVWhcv5FfqeH0,audio_features,spotify:track:05wIrZSwuaVWhcv5FfqeH0,0.944
19,0.104,https://api.spotify.com/v1/audio-analysis/0XfOi87h82i09rQjWYG0Bm,0.767,165467.0,0.934,0XfOi87h82i09rQjWYG0Bm,0.0,4.0,0.0835,-3.057,0.0,Catarina Rocha Leite,energetic,energetic songs,0.195,121.069,4.0,https://api.spotify.com/v1/tracks/0XfOi87h82i09rQjWYG0Bm,audio_features,spotify:track:0XfOi87h82i09rQjWYG0Bm,0.895
20,0.375,https://api.spotify.com/v1/audio-analysis/3cU2wBxuV6nFiuf6PJZNlC,0.655,184227.0,0.782,3cU2wBxuV6nFiuf6PJZNlC,0.0,1.0,0.317,-4.789,1.0,Catarina Rocha Leite,energetic,energetic songs,0.185,79.427,4.0,https://api.spotify.com/v1/tracks/3cU2wBxuV6nFiuf6PJZNlC,audio_features,spotify:track:3cU2wBxuV6nFiuf6PJZNlC,0.832
21,0.0125,https://api.spotify.com/v1/audio-analysis/0l0CvurVUrr2w3Jj1hOVFc,0.557,213507.0,0.801,0l0CvurVUrr2w3Jj1hOVFc,1.66e-06,1.0,0.737,-3.602,0.0,Catarina Rocha Leite,energetic,energetic songs,0.218,92.135,4.0,https://api.spotify.com/v1/tracks/0l0CvurVUrr2w3Jj1hOVFc,audio_features,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,0.654
22,0.36,https://api.spotify.com/v1/audio-analysis/0z0qRN3HNUCOG9y1R7umuD,0.812,213519.0,0.366,0z0qRN3HNUCOG9y1R7umuD,0.0,5.0,0.0793,-10.245,0.0,Catarina Rocha Leite,energetic,energetic songs,0.447,114.093,4.0,https://api.spotify.com/v1/tracks/0z0qRN3HNUCOG9y1R7umuD,audio_features,spotify:track:0z0qRN3HNUCOG9y1R7umuD,0.659
23,0.0417,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,0.801,163253.0,0.795,6QgjcU0zLnzq5OrUoSZ3OK,0.000113,1.0,0.0717,-5.115,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0504,79.028,4.0,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,audio_features,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,0.754
24,0.0987,https://api.spotify.com/v1/audio-analysis/0n6FMFq5bE22tNTmd6L9U4,0.764,172720.0,0.842,0n6FMFq5bE22tNTmd6L9U4,0.0,11.0,0.117,-6.923,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0326,110.029,4.0,https://api.spotify.com/v1/tracks/0n6FMFq5bE22tNTmd6L9U4,audio_features,spotify:track:0n6FMFq5bE22tNTmd6L9U4,0.863
25,0.426,https://api.spotify.com/v1/audio-analysis/01gwPP2h3ajRnqiIphUtR7,0.725,177427.0,0.804,01gwPP2h3ajRnqiIphUtR7,0.000504,8.0,0.108,-7.84,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0393,93.668,4.0,https://api.spotify.com/v1/tracks/01gwPP2h3ajRnqiIphUtR7,audio_features,spotify:track:01gwPP2h3ajRnqiIphUtR7,0.961
26,0.179,https://api.spotify.com/v1/audio-analysis/0XIz5SZTO8AJgteB0shpyN,0.574,173531.0,0.869,0XIz5SZTO8AJgteB0shpyN,0.0,7.0,0.305,-2.474,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0813,134.746,5.0,https://api.spotify.com/v1/tracks/0XIz5SZTO8AJgteB0shpyN,audio_features,spotify:track:0XIz5SZTO8AJgteB0shpyN,0.929
27,0.00107,https://api.spotify.com/v1/audio-analysis/7zWj09xkFgA9tcV6YhfU6q,0.765,195973.0,0.837,7zWj09xkFgA9tcV6YhfU6q,1.06e-05,1.0,0.0801,-3.113,0.0,Catarina Rocha Leite,energetic,energetic songs,0.032,122.028,4.0,https://api.spotify.com/v1/tracks/7zWj09xkFgA9tcV6YhfU6q,audio_features,spotify:track:7zWj09xkFgA9tcV6YhfU6q,0.721
28,7.95e-05,https://api.spotify.com/v1/audio-analysis/0iGckQFyv6svOfAbAY9aWJ,0.706,220227.0,0.841,0iGckQFyv6svOfAbAY9aWJ,0.0,7.0,0.0688,-3.956,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0418,132.032,4.0,https://api.spotify.com/v1/tracks/0iGckQFyv6svOfAbAY9aWJ,audio_features,spotify:track:0iGckQFyv6svOfAbAY9aWJ,0.861
