,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,p_creator,p_mood,p_name,speechiness,tempo,time_signature,valence
0,0.00496,0.733,236093,0.899,1uXbwHHfgsXcUKfSZw5ZJ0,4.72E-05,0,0.372,-4.237,1,Spotify,energetic,Working Out Together: HAIM,0.143,127.086,4,0.76
1,0.0108,0.657,212107,0.695,7LP4Es66zdY7CyjepqmvAg,0,2,0.0822,-4.493,1,Spotify,energetic,Working Out Together: HAIM,0.0321,65.997,4,0.683
2,0.0303,0.796,319373,0.867,7yVtuQux71kxcRk99ILX5c,2.82E-06,10,0.134,-9.543,1,Spotify,energetic,Working Out Together: HAIM,0.0309,120.682,4,0.971
3,0.184,0.731,236920,0.738,3L7RtEcu1Hw3OXrpnthngx,0,9,0.214,-8.125,0,Spotify,energetic,Working Out Together: HAIM,0.0377,117.656,4,0.958
4,0.331,0.942,296147,0.641,6aBUnkXuCEQQHAlTokv9or,0.179,7,0.028,-10.15,1,Spotify,energetic,Working Out Together: HAIM,0.0333,114.443,4,0.966
5,0.0908,0.813,236933,0.882,3pEuO9J2MTEmec8kUfYYvl,0.00457,7,0.147,-7.575,1,Spotify,energetic,Working Out Together: HAIM,0.0402,125.983,4,0.874
6,0.107,0.852,279360,0.655,2AnTuxahfcAS7dGxGZnihY,2.07E-05,5,0.137,-11.498,0,Spotify,energetic,Working Out Together: HAIM,0.0645,115.962,4,0.952
7,0.00482,0.498,207307,0.795,0aqRkWPAL9BGCvvdSiXaE9,5.37E-05,5,0.124,-5.992,1,Spotify,energetic,Working Out Together: HAIM,0.0444,172.564,4,0.762
8,0.72,0.629,298933,0.547,75FEaRjZTKLhTrFGsfMUXR,0.00314,10,0.0604,-13.123,0,Spotify,energetic,Working Out Together: HAIM,0.055,108.375,4,0.197
9,0.0135,0.898,226240,0.271,62LJFaYihsdVrrkgUOJC05,0.00138,7,0.0461,-12.238,1,Spotify,energetic,Working Out Together: HAIM,0.091,111.485,4,0.742
10,0.0843,0.811,278627,0.725,0dfQwyoZoS9LgQiU6AJO7f,0.0059,8,0.0567,-7.203,1,Spotify,energetic,Working Out Together: HAIM,0.0491,120.242,4,0.698
11,0.0587,0.678,285973,0.871,3Rc2ajBMInxeNGVkMPC92Y,0.249,6,0.0928,-4.781,1,Spotify,energetic,Working Out Together: HAIM,0.0342,117.029,4,0.28
12,0.39,0.882,161627,0.689,2qG5sZ7Si6sdK74qLxedYM,0.00325,6,0.0501,-4.027,1,Spotify,energetic,Working Out Together: HAIM,0.124,97.963,4,0.746
