,song_id,p_mood,p_creator,p_name,pitch_mean,pitch_variance,timbre_mean,timbre_variance,intensity_mean,intensity_variance,rhythm_mean,rhythm_variance
0,1uXbwHHfgsXcUKfSZw5ZJ0,energetic,Spotify,Working Out Together: HAIM,0.483186508,0.092616295,10.77092857,0.092616295,-23.49885714,60.47824061,0.23623772,3.39E-06
1,7LP4Es66zdY7CyjepqmvAg,energetic,Spotify,Working Out Together: HAIM,0.231541667,0.09313403,2.410888889,0.09313403,-19.55328571,111.8074404,0.455514892,4.44E-05
2,7yVtuQux71kxcRk99ILX5c,energetic,Spotify,Working Out Together: HAIM,0.250779762,0.099968935,-9.241319444,0.099968935,-40.13609524,40.61362399,0.24859916,2.56E-07
3,3L7RtEcu1Hw3OXrpnthngx,energetic,Spotify,Working Out Together: HAIM,0.44018254,0.086315565,11.2259246,0.086315565,-35.92535714,163.0864054,0.25510172,5.18E-07
4,6aBUnkXuCEQQHAlTokv9or,energetic,Spotify,Working Out Together: HAIM,0.295902778,0.100431078,-0.188845238,0.100431078,-34.5097619,46.16168677,0.26232844,1.30E-06
5,3pEuO9J2MTEmec8kUfYYvl,energetic,Spotify,Working Out Together: HAIM,0.268331349,0.116228369,9.681642857,0.116228369,-25.29030952,84.00744349,0.23813324,4.77E-07
6,2AnTuxahfcAS7dGxGZnihY,energetic,Spotify,Working Out Together: HAIM,0.381914683,0.10792982,9.195117063,0.10792982,-36.43330952,126.4919611,0.25811756,6.73E-06
7,0aqRkWPAL9BGCvvdSiXaE9,energetic,Spotify,Working Out Together: HAIM,0.231013889,0.087538157,12.54636508,0.087538157,-34.47978571,43.81531139,0.17383344,1.14E-06
8,75FEaRjZTKLhTrFGsfMUXR,energetic,Spotify,Working Out Together: HAIM,0.310130952,0.089697231,-1.395386905,0.089697231,-38.54959524,78.35206517,0.27667068,2.73E-06
9,62LJFaYihsdVrrkgUOJC05,energetic,Spotify,Working Out Together: HAIM,0.389603175,0.109037727,14.65491071,0.109037727,-44.00188095,216.8240165,0.2695194,2.61E-06
10,0dfQwyoZoS9LgQiU6AJO7f,energetic,Spotify,Working Out Together: HAIM,0.328809524,0.080728858,27.22502778,0.080728858,-36.82207143,130.4828268,0.24945712,4.75E-07
11,3Rc2ajBMInxeNGVkMPC92Y,energetic,Spotify,Working Out Together: HAIM,0.277416667,0.075154816,-5.599547619,0.075154816,-23.30814286,69.26721715,0.25642524,1.00E-06
12,2qG5sZ7Si6sdK74qLxedYM,energetic,Spotify,Working Out Together: HAIM,0.362555556,0.112157333,10.5655496,0.112157333,-35.85614286,341.0834519,0.3061084,1.23E-06
13,3KliPMvk1EvFZu9cvkj8p1,energetic,Spotify,Working Out Together: HAIM,0.482801587,0.078275909,15.31647024,0.078275909,-34.07009524,77.27029223,0.23421192,8.29E-06
14,5yR9u8QiOt8hJaddv32oo7,energetic,Spotify,Working Out Together: HAIM,0.480117063,0.077730096,9.870734127,0.077730096,-28.53357143,170.6854843,0.24025568,3.46E-06
15,3aAuIvgJGdp4wWd60riWfB,energetic,Spotify,Working Out Together: HAIM,0.34394246,0.098680527,2.126638889,0.098680527,-32.2512619,55.22219234,0.25790244,6.17E-07
16,5osSw3tL07Tuid7AWsvYcc,energetic,Spotify,Working Out Together: HAIM,0.41177381,0.078480187,22.90896825,0.078480187,-18.83369048,122.7765745,0.31948692,3.76E-05
17,4pmc2AxSEq6g7hPVlJCPyP,energetic,Spotify,Working Out Together: HAIM,0.282509921,0.099035189,12.47799008,0.099035189,-27.52788095,98.20347933,0.3371036,8.09E-07
18,0JcgDliDqDac8iOFFRm7tZ,energetic,Spotify,Working Out Together: HAIM,0.350968254,0.090623991,5.429902778,0.090623991,-25.3167381,102.9350643,0.24998616,6.73E-07
19,5iSEsR6NKjlC9SrIJkyL3k,energetic,Spotify,Working Out Together: HAIM,0.238011905,0.080174986,10.05099802,0.080174986,-18.38183333,44.39897995,0.2601066,3.52E-06
